MES,volume_itens,compras_unicas,clientes_unicos
2019-01,6492,171,155
2019-02,16153,402,322
2019-03,9835,257,229
2019-04,16255,410,335
2019-05,28115,711,495
2019-06,19484,493,399
2019-07,10755,274,238
2019-08,15918,420,346
2019-09,16895,436,350
2019-10,9127,242,218
2019-11,6120,151,135
2019-12,20954,516,407
2020-01,20675,506,398
2020-02,17173,434,355
2020-03,17543,439,364
2020-04,15695,387,325
2020-05,14011,366,321
2020-06,10907,264,231
2020-07,8967,215,195
2020-08,15935,384,330
2020-09,18877,471,373
2020-10,25275,633,470
2020-11,15079,384,318
2020-12,12667,311,266
2021-01,23915,616,473
2021-02,17150,433,353
2021-03,15537,382,319
2021-04,14820,363,300
2021-05,13198,333,283
2021-06,17231,445,354
2021-07,23635,599,445
2021-08,14945,386,322
2021-09,23618,594,453
2021-10,28575,711,495
2021-11,8684,231,209
2021-12,15505,412,342
2022-01,23039,566,443
2022-02,16654,430,365
2022-03,14014,364,304
2022-04,12450,318,278
2022-05,17475,429,354
2022-06,12226,301,260
2022-07,17579,446,355
2022-08,11224,273,234
2022-09,1297,35,34
2022-10,2373,59,56
2022-11,6192,155,145
2022-12,13204,313,266
